,data_type,garnet_formula
603,mixed,YCa2Sn2Al3O12
604,mixed,YCa2Sn2Al3O12
605,mixed,YCa2Sn2Al3O12
606,mixed,YCa2Sn2Al3O12
607,mixed,YCa2Sn2Al3O12
608,mixed,YCa2Sn2Al3O12
609,mixed,YCa2Sn2Al3O12
610,mixed,YCa2Sn2Al3O12
611,mixed,YCa2Sn2Al3O12
612,mixed,YCa2Sn2Al3O12
613,mixed,YCa2Sn2Al3O12
614,mixed,YCa2Sn2Al3O12
615,mixed,YCa2Sn2Al3O12
616,mixed,YCa2Sn2Al3O12
617,mixed,YCa2Sn2Al3O12
618,mixed,YCa2Sn2Al3O12
619,mixed,YCa2Sn2Al3O12
620,mixed,NdCa2Zr2Ga3O12
621,mixed,NdCa2Zr2Ga3O12
622,mixed,NdCa2Zr2Ga3O12
623,mixed,NdCa2Zr2Ga3O12
624,mixed,NdCa2Zr2Ga3O12
625,mixed,NdCa2Zr2Ga3O12
626,mixed,NdCa2Zr2Ga3O12
627,mixed,NdCa2Zr2Ga3O12
628,mixed,NdCa2Zr2Ga3O12
629,mixed,NdCa2Zr2Ga3O12
630,mixed,NdCa2Zr2Ga3O12
631,mixed,NdCa2Zr2Ga3O12
632,mixed,NdCa2Zr2Ga3O12
633,mixed,NdCa2Zr2Ga3O12
634,mixed,NdCa2Zr2Ga3O12
635,mixed,NdCa2Zr2Ga3O12
636,mixed,NdCa2Zr2Ga3O12
637,mixed,NdCa2Zr2Ga3O12
638,mixed,NdCa2Zr2Ga3O12
639,mixed,NdCa2Zr2Ga3O12
640,mixed,NdZn2Zr2Al3O12
641,mixed,NdZn2Zr2Al3O12
642,mixed,NdZn2Zr2Al3O12
643,mixed,NdZn2Zr2Al3O12
644,mixed,NdZn2Zr2Al3O12
645,mixed,NdZn2Zr2Al3O12
646,mixed,NdZn2Zr2Al3O12
647,mixed,NdZn2Zr2Al3O12
648,mixed,NdZn2Zr2Al3O12
649,mixed,NdZn2Zr2Al3O12
650,mixed,NdZn2Zr2Al3O12
651,mixed,NdZn2Zr2Al3O12
652,mixed,NdZn2Zr2Al3O12
653,mixed,NdZn2Zr2Al3O12
654,mixed,NdZn2Zr2Al3O12
655,mixed,NdZn2Zr2Al3O12
656,mixed,NdZn2Zr2Al3O12
657,mixed,NdZn2Zr2Al3O12
658,mixed,NdZn2Zr2Al3O12
659,mixed,NdZn2Zr2Al3O12
660,mixed,LuSr2Li2P3O12
661,mixed,LuSr2Li2P3O12
662,mixed,LuSr2Li2P3O12
663,mixed,LuSr2Li2P3O12
664,mixed,LuSr2Li2P3O12
665,mixed,LuSr2Li2P3O12
666,mixed,LuSr2Li2P3O12
